video_id,languages_all,languages_non_auto,has_auto_dub,source,fetched_at,status,error
r4ytGp3Yvp8,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
XXFuvXgN8Eg,en-US,en-US,false,youtubei.js,2025-12-31,ok,
CudiOA7LeWs,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
HDUDQdCeRQQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
daprPqasINI,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
dwMG2-4OgFw,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
M2tUSg2PpPA,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
qbTP_VcRWGQ,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
MzYhXqn1vtQ,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
2vSfmb54KS0,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
La2W3bGm5FI,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
Zy9eJuFDbGs,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
uRl2ZiYSuiI,en-US,en-US,false,youtubei.js,2025-12-31,ok,
XOD1UPzXAUk,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
mxh0-zjFgl0,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
bbr-46HrIN0,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
C9FCXfGvuJM,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
ViCKsAYmAKA,en,en,unknown,youtubei.js,2025-12-31,ok,
tGRr-OYUc2k,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
z52G2QRC4VM,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
woiNbSptCS8,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
2D4MowDRlmE,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
V7Ja8iZ9Na8,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
OOZQFYsZkq0,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
uYRruMTDwc0,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
xlUW6UNoJUk,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
myGxQQs8dIE,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
FJ_c-tlXbDo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
Lzia_UPQPc4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
yTqXiQ-gBcA,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
i3ywlPN-N2I,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
1pbN78pWkxQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
FPQdfmxaidQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
eUMTPRyoyz4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
ifhBWJy_s3Y,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
ep6vhswpjJU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
hMzSIVJ64v4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
x7Z5ogQCLaI,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
tKoO7pyVxJs,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
p5orYHK8AhQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
Tg7sYeaNHYc,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
LvU6LVIpAYg,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
lmaKN7rCHHY,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
O9AVAy5GFgw,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
tVA79TsxtQc,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
1ZJU3j_5cIo,en,en,unknown,youtubei.js,2025-12-31,ok,
8WgboNxuZLo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
KTf7LpvA6SM,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
Nr3iBUo5XWA,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
cq0haPaEie8,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
z6LSkzwsAi8,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
ykJw9doJSZQ,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
P9hFCcLBQGo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
3-KmXNM-I-U,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
k9VIWIstLfY,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
P5WlZJC2nYo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
v4uFgUG6ytg,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
YOs03GL_wNU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
oE3pkJvH3PM,ar|bn|de-DE|en|en-US|es-US|fr-FR|hi|id|it|iw|ja|ko|ml|nl-NL|pa|pl|pt-BR|ru|ta|te|uk,en-US,true,youtubei.js,2025-12-31,ok,
ph5fKG2lhoI,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
qa4qyUYXILQ,ar|bn|de-DE|en|en-US|es-US|fr-FR|hi|id|it|iw|ja|ko|ml|nl-NL|pa|pl|pt-BR|ru|ta|te|uk,en-US,true,youtubei.js,2025-12-31,ok,
FlcDXEXqppc,en-GB,en-GB,false,youtubei.js,2025-12-31,ok,fallback:video_default_audio_language
1Lfeh8IVhos,de-DE|en|en-US|fr-FR|ko,en-US,true,youtubei.js,2025-12-31,ok,
9scZaVyEthw,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
sxgT6eiLTIc,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
vpqOudMaZuA,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
sbyN_DX07rg,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
jPlmN5pNK-s,de-DE|en|en-US|es-US|fr-FR|hi|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
H75kO6y2d74,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
_qAxlvMUkwk,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
sc29IorZ8TQ,es,es,unknown,youtubei.js,2025-12-31,ok,
p_o4aY7xkXg,en,en,unknown,youtubei.js,2025-12-31,ok,
Af0_vWDfJwQ,en,en,unknown,youtubei.js,2025-12-31,ok,
Q_h4IoPJXZw,en,en,unknown,youtubei.js,2025-12-31,ok,
_riIY-v2Ym8,en,en,unknown,youtubei.js,2025-12-31,ok,
gS1dpowPlE8,en,en,unknown,youtubei.js,2025-12-31,ok,
7vc-Uvp3vwg,en,en,unknown,youtubei.js,2025-12-31,ok,
qyi5SvPlMXc,en,en,unknown,youtubei.js,2025-12-31,ok,
cTodS8hkSDg,en,en,unknown,youtubei.js,2025-12-31,ok,
kIq5CZlg8Rg,en,en,unknown,youtubei.js,2025-12-31,ok,
IhvW8yZdE5A,en,en,unknown,youtubei.js,2025-12-31,ok,
SJJhHknEDPY,en,en,unknown,youtubei.js,2025-12-31,ok,
s5S-hA9uKEM,en,en,unknown,youtubei.js,2025-12-31,ok,
1pfqIcSydgE,en,en,unknown,youtubei.js,2025-12-31,ok,
4MUOdUvtf8o,en,en,unknown,youtubei.js,2025-12-31,ok,
IOYyCHGWJq4,en,en,unknown,youtubei.js,2025-12-31,ok,
v6o2bUPdxV0,en,en,unknown,youtubei.js,2025-12-31,ok,
S9dqJRyk0YM,en,en,unknown,youtubei.js,2025-12-31,ok,
FAivtXJOsiI,en,en,unknown,youtubei.js,2025-12-31,ok,
lR4tJr7sMPM,en,en,unknown,youtubei.js,2025-12-31,ok,
ky4RgRvVDoA,en,en,unknown,youtubei.js,2025-12-31,ok,
GdTMuivYF30,en,en,unknown,youtubei.js,2025-12-31,ok,
-zexOIGlrFo,en,en,unknown,youtubei.js,2025-12-31,ok,
B4UGZEjG02s,en,en,unknown,youtubei.js,2025-12-31,ok,
_Cv5ldhxpLA,en,en,unknown,youtubei.js,2025-12-31,ok,
